ExpectedImmunity,TimeIndex,TimeIndex2,L2IDs,L2Index,L1IDs,L1Index,NObserved
0.664139389130996,2,2,288992,31,288513,2,12
0.574719963889243,2,2,288993,32,288513,2,39
0.545622653017421,2,2,288994,33,288513,2,34
0.634292038220518,2,2,288995,34,288513,2,41
0.455895422654961,2,2,288996,35,288513,2,12
0.297027689866044,2,2,288997,36,288513,2,73
0.593332402093656,2,2,289003,37,288513,2,40
0.467634052752,2,2,289004,38,288513,2,8
0.386788137889493,2,2,289009,39,288513,2,33
0.519536452631052,2,2,289010,40,288513,2,33
0.446296514983297,2,2,289011,41,288513,2,26
0.361441911215489,2,2,289012,42,288513,2,37
0.456120331817056,2,2,289013,43,288513,2,39
0.438432484324245,2,2,289014,44,288513,2,27
0.537683279062184,2,2,289163,45,288729,15,8
0.655036406883767,2,2,289505,46,288732,16,9
0.635219198115123,2,2,289525,47,288732,16,11
0.521528508606434,2,2,289526,48,288732,16,3
0.816539433543535,2,2,289527,49,288732,16,3
0.644318273626921,2,2,289528,50,288732,16,5
0.774529638876868,2,2,289530,51,288537,4,3
0.725836111681028,2,2,289531,52,288732,16,1
0.57843719886306,2,2,289532,53,288732,16,5
0.732453000116319,2,2,289533,54,288732,16,11
0.811028087780403,2,2,289536,55,288732,16,10
0.714186197774434,2,2,289539,56,288732,16,3
0.986612458315302,2,2,289541,57,288732,16,4
0.321991022501333,2,2,289543,58,288537,4,3
0.585902357958553,2,2,289544,59,288732,16,4
0.33855103354284,2,2,289547,60,288537,4,15
0.567507379423804,2,2,289563,61,288530,3,6
NaN,2,2,289565,62,288530,3,0
0.680132915206825,2,2,289566,63,288530,3,4
0.618909679956112,2,2,289569,64,288530,3,2
0.668488229157651,2,2,289570,65,288530,3,2
0.577973067504,2,2,289571,66,288530,3,2
0.582438654984759,2,2,289572,67,288537,4,6
0.527183225752,2,2,289573,68,288530,3,2
0.527183225752,2,2,289574,69,288530,3,4
0.431244114578825,2,2,289576,70,288537,4,4
0.598441373730056,2,2,289577,71,288530,3,4
0.426923146204112,2,2,289578,72,288530,3,4
0.194,2,2,289580,73,288537,4,1
0.850399328044868,2,2,289581,74,288530,3,3
0.856445974207901,2,2,289593,75,288537,4,2
0.668161018030484,2,2,289730,76,288708,13,9
0.544113173002667,2,2,289733,77,288708,13,3
0.639294312875046,2,2,289734,78,288708,13,16
0.097,2,2,289735,79,288708,13,2
NaN,2,2,289736,80,288708,13,0
0.770079339456947,2,2,289738,81,288708,13,11
0.288986533752,2,2,289739,82,288708,13,2
NaN,2,2,289740,83,288708,13,0
0,2,2,289741,84,288708,13,2
NaN,2,2,289742,85,288708,13,0
0.700796950426921,2,2,289743,86,288708,13,5
0.501842460578825,2,2,289745,87,288708,13,4
NaN,2,2,289746,88,288708,13,0
0.986612458315302,2,2,289753,89,288708,13,1
NaN,2,2,289755,90,288708,13,0
NaN,2,2,289756,91,288708,13,0
NaN,2,2,289757,92,288708,13,0
0.986612458315302,2,2,289761,93,288657,12,2
0.875987636987143,2,2,289764,94,288622,10,12
0.309445689168,2,2,289765,95,288708,13,3
0.680326303273101,2,2,289767,96,288708,13,3
0.686299496033651,2,2,289768,97,288708,13,4
0.238196692,2,2,289772,98,288547,6,2
0.655379670172384,2,2,289776,99,288547,6,31
0.616822212327697,2,2,289781,100,288547,6,19
0.757318951789181,2,2,289785,101,288547,6,5
0.61906907226466,2,2,289786,102,288547,6,5
0.707617378241175,2,2,289788,103,288547,6,3
0.476393384,2,2,289791,104,288547,6,1
0.518202473626194,2,2,289794,105,288547,6,9
0.986612458315302,2,2,289795,106,288622,10,2
0.507540422749339,2,2,289796,107,288622,10,3
0.580897229157651,2,2,289797,108,288622,10,4
0.604226793814184,2,2,289799,109,288547,6,8
0.756897842033651,2,2,289800,110,288657,12,4
0.694885361708679,2,2,289801,111,288547,6,8
0.503970450090985,2,2,289844,112,288513,2,26
0.413378692,2,2,289861,113,288657,12,2
0.710498023824318,2,2,289862,114,288657,12,6
0.663539173603,2,2,289980,115,288565,7,7
0.667516106071066,2,2,289987,116,288622,10,27
0.527558505198698,2,2,290085,117,288565,7,8
0.527110250909289,2,2,290086,118,288565,7,17
0.645489983705928,2,2,290087,119,288565,7,11
0.528474019668506,2,2,290088,120,288565,7,20
0.510248392189043,2,2,290089,121,288565,7,7
0.578346258188868,2,2,290090,122,288565,7,21
0.388722978551028,2,2,290091,123,288565,7,8
0.514364332385884,2,2,290092,124,288565,7,6
0.487692050101072,2,2,290093,125,288565,7,18
0.657741638876868,2,2,290094,126,288571,8,9
0,2,2,290104,127,288571,8,2
NaN,2,2,290105,128,288571,8,0
0.0907273333333333,2,2,290106,129,288571,8,6
