"ExpectedImmunity","TimeIndex","TimeIndex2","L2IDs","L2Index","L1IDs","L1Index","NObserved","SmoothedImmunity1","SmoothedImmunity2"
NA,1,1,289742,85,288708,13,1,0.55207119549392,0.554410386434618
0.986612458315302,1,1,289743,86,288708,13,1,0.65309758608494,0.66260585739749
0.393537486105101,1,1,289745,87,288708,13,3,0.567458349987974,0.538156404177544
NA,1,1,289746,88,288708,13,1,0.555335119530496,0.557244332998917
0.476393384,1,1,289753,89,288708,13,3,0.60563871769572,0.586087838733147
NA,1,1,289755,90,288708,13,1,0.573070508000598,0.572606943226362
NA,1,1,289756,91,288708,13,1,0.537448409208844,0.530896451451265
0.700613773170911,1,1,289757,92,288708,13,2,0.611907475178206,0.610825685225558
0.413378692,1,1,289761,93,288657,12,2,0.648877874873915,0.640933035616235
0.816539433543535,1,1,289764,94,288622,10,3,0.730459022213864,0.73592611520823
0.816539433543535,1,1,289765,95,288708,13,3,0.576423830292236,0.608025843737229
0.659846292408224,1,1,289767,96,288708,13,2,0.582195378343798,0.585865344364731
0.556107954556881,1,1,289768,97,288708,13,4,0.634938740576618,0.620146021456513
0.986612458315302,1,1,289772,98,288547,6,3,0.579428127045895,0.639904326885682
0.639695408673128,1,1,289776,99,288547,6,7,0.630722095085145,0.637392384302405
0.493306229157651,1,1,289781,100,288547,6,2,0.582061739692634,0.579535349587204
0.943149733876256,1,1,289785,101,288547,6,6,0.684996089064512,0.757744784498656
0.679213368586807,1,1,289786,102,288547,6,9,0.606353255905599,0.634582658360932
0.238196692,1,1,289788,103,288547,6,2,0.507127249978629,0.488560526151428
0.382262256,1,1,289791,104,288547,6,3,0.586126431150364,0.566572832772798
0.707617378241175,1,1,289794,105,288547,6,3,0.631349929186476,0.647084165852238
0.986612458315302,1,1,289795,106,288622,10,1,0.70738458750406,0.705506297856086
0.986612458315302,1,1,289796,107,288622,10,1,0.685905115284451,0.68847988560689
0.519420101719217,1,1,289797,108,288622,10,6,0.632631144274721,0.60082676834216
0.494127951546757,1,1,289799,109,288547,6,7,0.586318744630715,0.563014275510579
0.476393384,1,1,289800,110,288657,12,3,0.630872977139983,0.615578743786021
0.528595148923553,1,1,289801,111,288547,6,10,0.582250943478626,0.564846436188856
0.532725675463533,1,1,289844,112,288513,2,21,0.545535058620088,0.538338758904283
0.752225551998304,1,1,289861,113,288657,12,9,0.700882684734829,0.724742074026701
0.782524828589181,1,1,289862,114,288657,12,5,0.666565514878062,0.69786638838831
0.825109431655535,1,1,289980,115,288565,7,9,0.633485694868046,0.704417121090306
0.257324355834667,1,1,289987,116,288622,10,3,0.673720656443286,0.611890505143484
0.444886038,1,1,290085,117,288565,7,4,0.570056181892549,0.551050317767008
0.629343073454825,1,1,290086,118,288565,7,4,0.570605402293557,0.583774577891949
0.574284893553884,1,1,290087,119,288565,7,6,0.559119535198791,0.565459985346558
0.588194479578825,1,1,290088,120,288565,7,8,0.55854707593255,0.568435227812741
0.646466408771767,1,1,290089,121,288565,7,3,0.591658672325186,0.601108634163441
0.549399366639035,1,1,290090,122,288565,7,6,0.576801176278656,0.572034025199699
0.382689958876,1,1,290091,123,288565,7,4,0.562375513813719,0.532328786469549
0.651904589592514,1,1,290092,124,288565,7,2,0.604961559346036,0.612443587294019
0.620423855197515,1,1,290093,125,288565,7,14,0.592074797598613,0.606073397404293
